-2.000000e+00 -9.953223e-01 -9.092974e-01
-1.750000e+00 -9.866717e-01 -9.839859e-01
-1.500000e+00 -9.661051e-01 -9.974950e-01
-1.250000e+00 -9.229001e-01 -9.489846e-01
-1.000000e+00 -8.427008e-01 -8.414710e-01
-7.500000e-01 -7.111556e-01 -6.816388e-01
-5.000000e-01 -5.204999e-01 -4.794255e-01
-2.500000e-01 -2.763264e-01 -2.474040e-01
0.000000e+00 0.000000e+00 0.000000e+00
2.500000e-01 2.763264e-01 2.474040e-01
5.000000e-01 5.204999e-01 4.794255e-01
7.500000e-01 7.111556e-01 6.816388e-01
1.000000e+00 8.427008e-01 8.414710e-01
1.250000e+00 9.229001e-01 9.489846e-01
1.500000e+00 9.661051e-01 9.974950e-01
1.750000e+00 9.866717e-01 9.839859e-01
2.000000e+00 9.953223e-01 9.092974e-01
2.250000e+00 9.985373e-01 7.780732e-01
2.500000e+00 9.995930e-01 5.984721e-01
2.750000e+00 9.998994e-01 3.816610e-01
3.000000e+00 9.999779e-01 1.411200e-01
3.250000e+00 9.999957e-01 -1.081951e-01
3.500000e+00 9.999993e-01 -3.507832e-01
3.750000e+00 9.999999e-01 -5.715613e-01
4.000000e+00 1.000000e+00 -7.568025e-01
4.250000e+00 1.000000e+00 -8.949894e-01
4.500000e+00 1.000000e+00 -9.775301e-01
4.750000e+00 1.000000e+00 -9.992928e-01
5.000000e+00 1.000000e+00 -9.589243e-01
5.250000e+00 1.000000e+00 -8.589345e-01
5.500000e+00 1.000000e+00 -7.055403e-01
5.750000e+00 1.000000e+00 -5.082791e-01
6.000000e+00 1.000000e+00 -2.794155e-01
6.250000e+00 1.000000e+00 -3.317922e-02
6.500000e+00 1.000000e+00 2.151200e-01
6.750000e+00 1.000000e+00 4.500441e-01
7.000000e+00 1.000000e+00 6.569866e-01
7.250000e+00 1.000000e+00 8.230809e-01
7.500000e+00 1.000000e+00 9.380000e-01
7.750000e+00 1.000000e+00 9.945988e-01
8.000000e+00 1.000000e+00 9.893582e-01
8.250000e+00 1.000000e+00 9.226042e-01
8.500000e+00 1.000000e+00 7.984871e-01
8.750000e+00 1.000000e+00 6.247240e-01
9.000000e+00 1.000000e+00 4.121185e-01
9.250000e+00 1.000000e+00 1.738895e-01
9.500000e+00 1.000000e+00 -7.515112e-02
9.750000e+00 1.000000e+00 -3.195192e-01
1.000000e+01 1.000000e+00 -5.440211e-01
