1e-09, 1e-09, 1
0.0332064, 0.0321038, 0.934138
0.0596962, 0.0561818, 0.88459
0.0850239, 0.0780006, 0.839124
0.109431, 0.0979577, 0.796976
0.133226, 0.116443, 0.757389
0.156654, 0.13374, 0.719813
0.179891, 0.150041, 0.683869
0.203062, 0.165479, 0.649299
0.226255, 0.180145, 0.615925
0.249537, 0.194102, 0.583623
0.272957, 0.207397, 0.552301
0.296557, 0.220066, 0.521892
0.320371, 0.232135, 0.492343
0.344429, 0.243628, 0.46361
0.368761, 0.254562, 0.435658
0.393396, 0.264953, 0.408455
0.418361, 0.274813, 0.381976
0.443687, 0.284153, 0.356195
0.469405, 0.292984, 0.331091
0.495547, 0.301313, 0.306644
0.522148, 0.309147, 0.282838
0.549245, 0.31649, 0.259655
0.576879, 0.323345, 0.237083
0.605089, 0.329716, 0.21511
0.633924, 0.335603, 0.193725
0.663429, 0.341004, 0.172921
0.693659, 0.345917, 0.152691
0.724668, 0.350339, 0.133033
0.756517, 0.354263, 0.113943
0.78927, 0.357683, 0.0954233
0.822998, 0.360589, 0.0774762
0.857777, 0.362972, 0.0601067
0.893689, 0.364819, 0.0433223
0.930824, 0.366116, 0.0271327
0.969281, 0.366849, 0.01155
1.00917, 0.366999, -0.0034114
1.05061, 0.366548, -0.0177345
1.09373, 0.365475, -0.0314
1.1387, 0.363758, -0.0443859
1.18566, 0.361369, -0.0566676
1.23483, 0.358283, -0.0682175
1.28642, 0.354469, -0.0790051
1.34068, 0.349892, -0.0889965
1.39791, 0.344517, -0.0981538
1.45847, 0.338301, -0.106435
1.52276, 0.331198, -0.113793
1.59129, 0.323157, -0.120174
1.66465, 0.314116, -0.125519
1.74361, 0.304008, -0.129758
1.8291, 0.292752, -0.13281
1.92232, 0.280254, -0.134581
2.0248, 0.266401, -0.134957
2.1386, 0.251065, -0.133802
2.2664, 0.234098, -0.130953
2.41169, 0.215362, -0.126224
2.57861, 0.194804, -0.11944
2.77059, 0.17268, -0.110563
2.98705, 0.149872, -0.0999442
3.2216, 0.127793, -0.0884181
3.46608, 0.107625, -0.0769248
3.7154, 0.0898601, -0.0660969
3.96838, 0.0744664, -0.0562127
4.22649, 0.0611877, -0.0473329
4.4927, 0.0497295, -0.039425
4.77087, 0.0398301, -0.0324319
5.06562, 0.0312755, -0.026302
5.38252, 0.0238908, -0.0210006
5.72843, 0.0175246, -0.0165159
6.11228, 0.0120253, -0.0128674
6.5461, 0.00720451, -0.0101273
7.04675, 0.00276125, -0.0084776
7.63752, -0.00190195, -0.00836708
8, -0.00502712, -0.00928922


1e-09, 1e-09, 1
0.0332064, 0.0321038, 0.934138
0.0596962, 0.0561817, 0.88459
0.0850238, 0.0780006, 0.839124
0.109431, 0.0979576, 0.796976
0.133226, 0.116443, 0.75739
0.156654, 0.13374, 0.719813
0.179891, 0.150041, 0.683869
0.203062, 0.165479, 0.649299
0.226255, 0.180144, 0.615925
0.249537, 0.194101, 0.583623
0.272957, 0.207397, 0.552302
0.296557, 0.220066, 0.521893
0.320371, 0.232135, 0.492343
0.344429, 0.243628, 0.46361
0.368761, 0.254562, 0.435658
0.393395, 0.264952, 0.408456
0.418361, 0.274812, 0.381976
0.443687, 0.284153, 0.356195
0.469404, 0.292984, 0.331091
0.495546, 0.301313, 0.306645
0.522148, 0.309147, 0.282838
0.549245, 0.31649, 0.259656
0.576878, 0.323345, 0.237084
0.605089, 0.329716, 0.215111
0.633923, 0.335603, 0.193726
0.663429, 0.341004, 0.172922
0.693659, 0.345918, 0.152692
0.724668, 0.350339, 0.133034
0.756517, 0.354264, 0.113944
0.78927, 0.357683, 0.0954244
