1e-09, 1e-09, 1
0.037535, 0.0361261, 0.921613
0.0734874, 0.0679063, 0.844438
0.111448, 0.0983995, 0.76052
0.15154, 0.127099, 0.669765
0.193608, 0.153261, 0.572963
0.237359, 0.176123, 0.471482
0.282318, 0.194982, 0.367338
0.327763, 0.209301, 0.263241
0.372787, 0.21886, 0.16228
0.416525, 0.223849, 0.0671774
0.458437, 0.224794, -0.0204399
0.498421, 0.222347, -0.100192
0.536681, 0.217094, -0.172495
0.573534, 0.209494, -0.238021
0.60929, 0.199886, -0.297394
0.64421, 0.188526, -0.351104
0.678505, 0.175619, -0.399504
0.712338, 0.161333, -0.442837
0.745837, 0.145818, -0.48126
0.779107, 0.12921, -0.514876
0.81223, 0.11164, -0.543748
0.845277, 0.093234, -0.567909
0.878309, 0.0741149, -0.58738
0.911381, 0.0544059, -0.60217
0.944544, 0.0342295, -0.612282
0.977848, 0.0137087, -0.617717
1, 2.20194e-06, -0.61874


1e-09, 1e-09, 1
0.0451133, 0.0430781, 0.910637
0.0821599, 0.0755287, 0.842726
0.11774, 0.10439, 0.781011
0.152153, 0.130269, 0.724358
0.185816, 0.153746, 0.67167
0.21907, 0.175238, 0.622146
0.252167, 0.195035, 0.575233
0.285297, 0.213334, 0.530548
0.318601, 0.230275, 0.487818
0.352194, 0.245957, 0.446848
0.386172, 0.260454, 0.407489
0.420621, 0.273822, 0.369626
0.455625, 0.286106, 0.333165
0.491266, 0.297336, 0.298029
0.527628, 0.30754, 0.264155
0.5648, 0.316734, 0.231485
0.602877, 0.32493, 0.199975
0.641961, 0.332133, 0.169585
0.682164, 0.338342, 0.140283
0.723604, 0.343551, 0.112047
0.766413, 0.347744, 0.0848591
0.810733, 0.350904, 0.0587108
0.85672, 0.353003, 0.0336001
0.904544, 0.354011, 0.00953246
0.954397, 0.353887, -0.0134797
1.00649, 0.352586, -0.0354172
1.06106, 0.350055, -0.0562544
1.11838, 0.346235, -0.0759598
1.17876, 0.341055, -0.0944956
1.24256, 0.334438, -0.111819
1.3102, 0.326293, -0.127882
1.38218, 0.316514, -0.142631
1.45912, 0.30498, -0.15601
1.54176, 0.291544, -0.167956
1.63105, 0.276026, -0.178405
1.7282, 0.258203, -0.187289
1.83481, 0.237783, -0.194537
1.9531, 0.21437, -0.200085
2.08624, 0.187396, -0.203874
2.23916, 0.155979, -0.205872
2.42022, 0.118591, -0.206114
2.64626, 0.0720675, -0.204839
