0, 10, 5
0.00450619, 9.84, 5.1584
0.0088696, 9.6809, 5.31286
0.0132132, 9.51868, 5.46739
0.0176188, 9.3505, 5.62463
0.022148, 9.17406, 5.78648
0.0268529, 8.98731, 5.95446
0.0317811, 8.78834, 6.12981
0.0369744, 8.57542, 6.31343
0.0424591, 8.34753, 6.50546
0.048223, 8.10542, 6.70448
0.0541848, 7.85297, 6.90655
0.0601908, 7.59744, 7.10542
0.0660638, 7.34724, 7.29458
0.0713365, 7.123, 7.45933
0.0764134, 6.90797, 7.61298
0.0809805, 6.71569, 7.74669
0.0853939, 6.53123, 7.87158
0.0896323, 6.35563, 7.9873
0.0936971, 6.18886, 8.09425
0.0976015, 6.03036, 8.19313
0.101363, 5.8794, 8.2847
0.105001, 5.73516, 8.36974
0.108532, 5.59692, 8.4489
0.111972, 5.46401, 8.52276
0.115335, 5.33586, 8.59181
0.118632, 5.21197, 8.65647
0.121874, 5.09194, 8.71706
0.125069, 4.97541, 8.77388
0.128225, 4.86207, 8.82717
0.131349, 4.75168, 8.87712
0.134446, 4.644, 8.92391
0.137521, 4.53886, 8.96769
0.14058, 4.43608, 9.00858
0.143626, 4.33552, 9.04667
0.146663, 4.23705, 9.08207
0.149695, 4.14056, 9.11485
0.152724, 4.04595, 9.14508
0.155755, 3.95312, 9.17281
0.158789, 3.86201, 9.1981
0.16183, 3.77252, 9.22097
0.16488, 3.68461, 9.24147
0.167941, 3.5982, 9.25963
0.171017, 3.51325, 9.27546
0.17411, 3.42969, 9.28898
0.177222, 3.3475, 9.30021
0.180356, 3.26662, 9.30915
0.183514, 3.18701, 9.3158
0.186699, 3.10865, 9.32018
0.189912, 3.03149, 9.32226
0.193158, 2.9555, 9.32205
0.196437, 2.88067, 9.31953
0.199754, 2.80695, 9.31469
0.20311, 2.73433, 9.30751
0.206508, 2.66277, 9.29796
0.209952, 2.59227, 9.28602
0.213445, 2.5228, 9.27167
0.216989, 2.45434, 9.25486
0.220588, 2.38687, 9.23556
0.224246, 2.32038, 9.21373
0.227966, 2.25484, 9.18932
0.231753, 2.19025, 9.16229
0.23561, 2.12659, 9.13258
0.239543, 2.06385, 9.10012
0.243555, 2.00202, 9.06485
0.247652, 1.94107, 9.02671
0.25184, 1.88101, 8.98562
0.256125, 1.82182, 8.94148
0.260513, 1.76349, 8.89421
0.265011, 1.706, 8.84371
0.269626, 1.64936, 8.78987
0.274368, 1.59356, 8.73258
0.279244, 1.53857, 8.6717
0.284265, 1.48441, 8.6071
