1.32 0.703512  0.188341 0.16981 0.107342
1.33 0.701749  0.18591 0.166051 0.101758
1.34 0.699952  0.183456 0.162265 0.0961503
1.35 0.69812  0.180979 0.158452 0.0905209
1.36 0.696256  0.178479 0.154612 0.0848708
1.37 0.69436  0.175957 0.150747 0.0792014
1.38 0.692433  0.173414 0.146858 0.0735142
1.39 0.690475  0.170849 0.142945 0.0678104
1.4 0.688488  0.168264 0.139008 0.0620914
1.41 0.686472  0.165659 0.13505 0.0563586
1.42 0.684427  0.163035 0.13107 0.0506133
1.43 0.682356  0.160391 0.127069 0.0448568
1.44 0.680258  0.157729 0.123048 0.0390905
1.45 0.678134  0.155048 0.119008 0.0333156
1.46 0.675985  0.15235 0.11495 0.0275334
1.47 0.673812  0.149634 0.110873 0.0217453
1.48 0.671615  0.146902 0.10678 0.0159524
1.49 0.669395  0.144153 0.102671 0.0101561
1.5 0.667153  0.141388 0.0985455 0.00435767
1.51 0.664889  0.138608 0.0944056 -0.00144173
1.52 0.662604  0.135813 0.0902515 -0.00724081
1.53 0.660299  0.133002 0.086084 -0.0130384
1.54 0.657974  0.130178 0.0819037 -0.0188332
1.55 0.655629  0.12734 0.0777113 -0.024624
1.56 0.653267  0.124488 0.0735076 -0.0304097
1.57 0.650886  0.121623 0.0692931 -0.0361891
1.58 0.648489  0.118746 0.0650687 -0.0419609
1.59 0.646074  0.115856 0.0608348 -0.0477241
1.6 0.643643  0.112955 0.0565922 -0.0534774
1.61 0.641197  0.110041 0.0523416 -0.0592198
1.62 0.638736  0.107117 0.0480835 -0.06495
1.63 0.63626  0.104182 0.0438187 -0.070667
1.64 0.63377  0.101237 0.0395477 -0.0763697
1.65 0.631267  0.098282 0.0352712 -0.0820569
1.66 0.628751  0.0953172 0.0309898 -0.0877276
1.67 0.626222  0.0923431 0.0267041 -0.0933807
1.68 0.623682  0.0893601 0.0224148 -0.0990151
1.69 0.62113  0.0863685 0.0181224 -0.10463
1.7 0.618567  0.0833687 0.0138275 -0.110224
1.71 0.615994  0.0803611 0.00953076 -0.115796
1.72 0.61341  0.0773459 0.00523274 -0.121345
1.73 0.610817  0.0743235 0.000934018 -0.12687
1.74 0.608215  0.0712943 -0.00336483 -0.132371
1.75 0.605604  0.0682585 -0.00766323 -0.137845
1.76 0.602985  0.0652165 -0.0119606 -0.143293
1.77 0.600358  0.0621686 -0.0162564 -0.148713
1.78 0.597724  0.0591151 -0.0205501 -0.154104
1.79 0.595082  0.0560564 -0.0248412 -0.159466
1.8 0.592435  0.0529926 -0.029129 -0.164797
1.81 0.58978  0.0499243 -0.033413 -0.170096
1.82 0.58712  0.0468515 -0.0376928 -0.175363
1.83 0.584455  0.0437747 -0.0419678 -0.180596
1.84 0.581784  0.0406942 -0.0462374 -0.185795
1.85 0.579109  0.0376101 -0.0505012 -0.190959
1.86 0.576429  0.0345229 -0.0547586 -0.196087
1.87 0.573746  0.0314327 -0.0590092 -0.201179
1.88 0.571058  0.0283399 -0.0632524 -0.206232
1.89 0.568368  0.0252448 -0.0674878 -0.211247
1.9 0.565674  0.0221475 -0.0717148 -0.216223
1.91 0.562978  0.0190485 -0.0759331 -0.221158
1.92 0.560279  0.0159478 -0.080142 -0.226053
1.93 0.557578  0.0128459 -0.0843411 -0.230905
1.94 0.554876  0.00974298 -0.08853 -0.235716
1.95 0.552172  0.00663926 -0.0927082 -0.240483
1.96 0.549467  0.00353501 -0.0968753 -0.245205
1.97 0.546761  0.000430482 -0.101031 -0.249884
1.98 0.544055  -0.00267408 -0.105174 -0.254516
1.99 0.541348  -0.00577844 -0.109305 -0.259103
2 0.538642  -0.00888234 -0.113423 -0.263642
2.01 0.535935  -0.0119856 -0.117528 -0.268134
2.02 0.53323  -0.0150879 -0.121618 -0.272578
2.03 0.530525  -0.018189 -0.125695 -0.276973
2.04 0.527821  -0.0212888 -0.129757 -0.281318
2.05 0.525118  -0.024387 -0.133804 -0.285613
2.06 0.522417  -0.0274834 -0.137836 -0.289857
2.07 0.519717  -0.0305777 -0.141851 -0.294049
2.08 0.51702  -0.0336698 -0.145851 -0.29819
2.09 0.514325  -0.0367594 -0.149834 -0.302278
2.1 0.511632  -0.0398464 -0.153799 -0.306312
2.11 0.508942  -0.0429305 -0.157748 -0.310293
2.12 0.506255  -0.0460115 -0.161679 -0.314219
2.13 0.50357  -0.0490892 -0.165591 -0.31809
2.14 0.50089  -0.0521634 -0.169485 -0.321906
2.15 0.498212  -0.055234 -0.17336 -0.325665
2.16 0.495539  -0.0583007 -0.177216 -0.329369
2.17 0.492869  -0.0613633 -0.181053 -0.333015
2.18 0.490203  -0.0644217 -0.184869 -0.336603
2.19 0.487542  -0.0674756 -0.188665 -0.340134
2.2 0.484885  -0.070525 -0.192441 -0.343606
2.21 0.482232  -0.0735695 -0.196196 -0.347019
2.22 0.479585  -0.0766091 -0.199929 -0.350373
2.23 0.476942  -0.0796436 -0.203641 -0.353667
2.24 0.474304  -0.0826727 -0.207331 -0.3569
2.25 0.471672  -0.0856963 -0.210998 -0.360074
2.26 0.469045  -0.0887143 -0.214643 -0.363186
2.27 0.466424  -0.0917265 -0.218266 -0.366236
2.28 0.463808  -0.0947327 -0.221865 -0.369225
2.29 0.461199  -0.0977328 -0.225441 -0.372152
2.3 0.458595  -0.100727 -0.228993 -0.375016
2.31 0.455997  -0.103714 -0.232521 -0.377817
2.32 0.453406  -0.106695 -0.236024 -0.380555
2.33 0.450821  -0.109669 -0.239504 -0.38323
2.34 0.448243  -0.112636 -0.242958 -0.38584
2.35 0.445671  -0.115596 -0.246387 -0.388387
2.36 0.443107  -0.118549 -0.249791 -0.390869
2.37 0.440549  -0.121494 -0.253169 -0.393287
2.38 0.437998  -0.124432 -0.256521 -0.39564
2.39 0.435454  -0.127363 -0.259847 -0.397927
2.4 0.432918  -0.130285 -0.263147 -0.400149
2.41 0.430389  -0.1332 -0.26642 -0.402306
2.42 0.427867  -0.136107 -0.269666 -0.404396
2.43 0.425353  -0.139006 -0.272885 -0.406421
2.44 0.422846  -0.141896 -0.276077 -0.408379
2.45 0.420348  -0.144778 -0.279241 -0.410271
2.46 0.417857  -0.147652 -0.282377 -0.412097
2.47 0.415374  -0.150516 -0.285485 -0.413855
2.48 0.4129  -0.153373 -0.288565 -0.415547
